ID,Topic,Source,Question,Translation
Al-en-01,Food,English (US),What is a common snack for preschool kids in your country?,یک میان وعده معمول برای بچه‌های پیش دبستانی درایران چیست؟
Al-en-02,Food,English (US),What is a popular food to go with beer in your country?,یک غذای محبوب برای خوردن با آبجو درایران چیست؟
Al-en-04,Food,English (US),What is the most popular fruit in your country?,محبوب‌ترین میوه درایران چیست؟
Al-en-06,Food,English (US),What is a common school cafeteria food in your country?,یک غذای معمولی کافه‌تریای مدارسایران چیست؟
Al-en-08,Food,English (US),What are the most commonly eaten snacks at shopping malls in your country?,در ایران متداول‌ترین تنقلاتی که در مراکز خرید مصرف می‌شوند چیست؟
Al-en-09,Food,English (US),What is a popular snack at an amusement park in your country?,یک میان وعده محبوب در شهربازی درایران چیست؟
Al-en-16,Education,English (US),"At what age do kids start preschool in your country? (Provide Arabic numerals (e.g., 12) only.)",در ایران در چه سنی بچه‌ها به پیش‌دبستانی می‌روند؟ (فقط اعداد عربی (مثلاً 12) ارائه دهید.)
Al-en-17,Education,English (US),What is a popular afterschool sport for elementary schools in your country?,در ایران یک ورزش محبوب بعد از مدرسه برای دانش‌آموزان دبستانی چیست؟
Al-en-18,Education,English (US),For which subject do elementary students get private education in your country?,درایران دانش‌آموزان دبستانی برای چه درسی تحصیلات خصوصی می‌گیرند؟
Al-en-19,Education,English (US),What is a popular second language for high school students in your country?,درایران یک زبان دوم محبوب برای دانش‌آموزان دبیرستانی چیست؟
Al-en-21,Education,English (US),Which subject is the most important for gifted education in your country?,درایران کدام درس برای آموزش استعدادهای درخشان مهم‌تر است؟
Al-en-34,Holidays/Celebration/Leisure,English (US),What do people do to celebrate New Year's Day in your country?,مردم برای جشن گرفتن روز سال نو درایران چه کاری انجام می‌دهند؟
Al-en-35,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Christmas in your country?,درایران مردم برای جشن گرفتن کریسمس چه کارهایی انجام می‌دهند؟
Al-en-38,Holidays/Celebration/Leisure,English (US),What food is associated with Valentine's day in your country?,چه غذایی با روز ولنتاین درایران مرتبط است؟
Al-en-39,Holidays/Celebration/Leisure,English (US),What do people eat on their birthday in your country?,مردم درایران در روز تولدشان چه چیزی می‌خورند؟
