ID,Topic,Source,Question,Translation,South_Korea,China,Spain,Indonesia,Iran,West_Java
Al-en-01,Food,English (US),What is a common snack for preschool kids in your country?,What is a common snack for preschool kids in the US?,미국의 유치원생들이 흔히 먹는 간식은 무엇인가요?,在美国，学龄前儿童常见的零食是什么？,¿Cuál es un tentempié común para niños de preescolar en EE.UU.?,Apa camilan umum untuk anak-anak TK di AS?,یک میان وعده معمول برای بچه‌های پیش دبستانی در آمریکا چیست؟,Naon jajanan umum pikeun barudak TK di AS?
Al-en-02,Food,English (US),What is a popular food to go with beer in your country?,What is a popular food to go with beer in the US?,미국에서 맥주와 함께 즐겨먹는 음식은 무엇인가요?,在美国，有什么受欢迎的食物可以搭配啤酒吃？,¿Cuál es una comida popular para acompañar la cerveza en EE.UU.?,Apa makanan populer yang cocok disantap bersama bir di AS?,یک غذای محبوب برای خوردن با آبجو در آمریکا چیست؟,Naon kadaharan populér nu cocog sareng bir di AS?
Al-en-04,Food,English (US),What is the most popular fruit in your country?,What is the most popular fruit in the US?,미국에서 가장 인기 있는 과일은 무엇입니까?,在美国最受欢迎的水果是什么？,¿Cuál es la fruta más popular en EE.UU.?,Buah apa yang paling populer di AS?,محبوب‌ترین میوه در آمریکا چیست؟,Naon buah nu pang populerna di AS?
Al-en-06,Food,English (US),What is a common school cafeteria food in your country?,What is a common school cafeteria food in the US?,미국 학교 급식에서 흔히 볼 수 있는 음식은 무엇인가요?,在美国的学校食堂里常见的食物是什么？,¿Cuál es una comida común en las cafeterías escolares de EE. UU.?,Apa makanan kantin sekolah yang umum di AS?,یک غذای معمولی کافه‌تریای مدارس آمریکا چیست؟,Naon kadaharan kantin sakola anu umum di AS?
Al-en-08,Food,English (US),What are the most commonly eaten snacks at shopping malls in your country?,What are the most commonly eaten snacks at shopping malls in the US?,미국 쇼핑몰에서 사람들이 가장 흔히 먹는 간식은 무엇인가요?,在美国的购物中心里，最常见的零食有哪些？,¿Cuáles son los aperitivos más consumidos en los centros comerciales de EE. UU.?,Apa saja camilan yang paling sering dimakan di pusat perbelanjaan di AS?,در آمریکا متداول‌ترین تنقلاتی که در مراکز خرید مصرف می‌شوند چیست؟,Naon jajanan anu pang mindengna didahar di mal-mal di AS?
Al-en-09,Food,English (US),What is a popular snack at an amusement park in your country?,What is a popular snack at an amusement park in the US?,미국의 놀이공원에서 인기 있는 간식은 무엇인가요?,在美国的游乐园里，有什么受欢迎的小吃？,¿Cuál es un aperitivo popular en un parque de atracciones en EE. UU.?,Apa camilan populer di taman hiburan di AS?,یک میان وعده محبوب در شهربازی در آمریکا چیست؟,Naon jajanan populér di taman hiburan di AS?
Al-en-16,Education,English (US),"At what age do kids start preschool in your country? (Provide Arabic numerals (e.g., 12) only.)","At what age do kids start preschool in the US? (Provide Arabic numerals (e.g., 12) only.)",미국에서 아이들은 보통 몇 살에 유치원에 다니기 시작하나요? (아라비아 숫자(예: 12)만 기재해 주세요.),在美国，孩子们几岁开始上幼儿园？（只提供阿拉伯数字（例如，12）。）,"¿A qué edad comienzan los niños el preescolar en EE.UU.? (Proporciona la respuesta en números (por ejemplo, 12).)","Pada usia berapa anak-anak mulai masuk prasekolah di AS? (Berikan angka Arab (misalnya, 12) saja.)",در آمریکا در چه سنی بچه‌ها به پیش‌دبستانی می‌روند؟ (فقط اعداد عربی (مثلاً 12) ارائه دهید.),"Dina umur sabaraha murangkalih mimiti asup ka PAUD di AS? (Pasihkeun angka Arab wungkul (contona, 4).)"
Al-en-17,Education,English (US),What is a popular afterschool sport for elementary schools in your country?,What is a popular afterschool sport for elementary schools in the US?,미국의 초등학교에서 방과 후에 하는 스포츠 중 인기 있는 스포츠는 무엇인가요?,在美国小学，什么课后运动项目比较受欢迎？,¿Cuál es un deporte extraescolar popular en la escuela primaria en EE. UU.?,Apa olahraga populer setelah sekolah untuk siswa sekolah dasar (SD) di AS?,در آمریکا یک ورزش محبوب بعد از مدرسه برای دانش‌آموزان دبستانی چیست؟,Naon olahraga populer saatos sakola pikeun sakola dasar di AS?
Al-en-18,Education,English (US),For which subject do elementary students get private education in your country?,For which subject do elementary students get private education in the US?,미국에서 초등학생들이 받는 사교육에는 어떤 과목이 있나요?,在美国，小学生通常为哪门学科接受私立教育？,¿Para qué asignatura reciben educación privada los estudiantes de primaria en EE. UU.?,Untuk mata pelajaran apa siswa sekolah dasar di AS mendapatkan pendidikan privat?,در آمریکا دانش‌آموزان دبستانی برای چه درسی تحصیلات خصوصی می‌گیرند؟,Pelajaran naon nu dicokot lesna ku murid SD di AS?
Al-en-19,Education,English (US),What is a popular second language for high school students in your country?,What is a popular second language for high school students in the US?,미국 고등학생들 사이에서 인기 있는 외국어는 무엇인가요?,在美国，高中生普遍学习哪种第二外语？,¿Cuál es un segundo idioma popular para los estudiantes de secundaria en EE. UU.?,Apa bahasa kedua yang populer bagi siswa SMA di AS?,در آمریکا یک زبان دوم محبوب برای دانش‌آموزان دبیرستانی چیست؟,Naon basa kadua anu populer pikeun murid SMA di AS?
